,County Name,Jan2020_Sum,Feb2020_Sum,Mar2020_Sum,Apr2020_Sum,May2020_Sum,Jun2020_Sum,Jul2020_Sum,Aug2020_Sum,Sep2020_Sum,Oct2020_Sum,Nov2020_Sum,Dec2020_Sum,Jan2021_Sum,Feb2021_Sum,Mar2021_Sum,Apr2021_Sum,May2021_Sum,Jun2021_Sum,Jul2021_Sum,Aug2021_Sum,Sep2021_Sum,Oct2021_Sum,Nov2021_Sum,Dec2021_Sum,Jan2022_Sum,Feb2022_Sum,Mar2022_Sum,Apr2022_Sum,May2022_Sum,Jun2022_Sum
56,Santa Rosa County ,0,0,183,3329,5873,9815,53458,128405,153293,175702,199898,285748,419778,460000,541851,538681,568848,555475,593314,709761,894226,995160,975674,1020221,1197807,1313431,1495228,1450882,1509328,841375
57,Sarasota County ,0,0,473,7300,15410,26757,112504,203877,231460,276840,345483,502875,686968,727894,872613,930604,1028081,985498,1041920,1252389,1538911,1697495,1666503,1761529,2183554,2402069,2752828,2689147,2851566,1630683
58,Seminole County ,0,0,582,8339,13453,32818,147497,229442,259384,299746,347919,484142,666752,723344,886126,957856,1073234,1068564,1189204,1480015,1737496,1903789,1878517,1995033,2607851,2817298,3189981,3110437,3278171,1860731
59,Sumter County ,0,0,286,3749,7594,8400,22648,46407,63453,83557,95722,130601,194045,212675,260738,271477,291199,284488,304250,348380,401866,444489,439448,462167,535826,579003,667478,653585,695274,396326
60,Suwannee County ,0,0,10,2246,4779,7574,25461,60525,77367,89440,94251,112159,140371,140074,160378,158172,166085,162025,172317,209422,258829,283224,277152,288547,325255,352700,400183,388057,402689,223095
61,Taylor County ,0,0,0,43,226,1646,5679,30730,37995,43726,47201,55537,69713,72246,82978,81122,84955,82554,87017,100432,127554,141108,137962,143902,165936,190902,216688,209985,217609,120049
62,Union County ,0,0,1,73,558,1243,4212,13483,24224,32917,35814,41287,49050,47850,54530,53778,56804,55850,61435,75998,87535,94566,92138,95884,109111,117627,133440,129327,134031,74014
63,Volusia County ,0,0,484,8265,18626,33842,140861,258113,307488,367276,434636,596577,835053,925486,1122571,1221521,1362196,1344732,1488677,1843907,2094549,2311453,2292084,2421149,2950115,3161565,3595090,3502810,3677852,2080616
64,Wakulla County ,0,0,3,372,937,1174,8161,23682,31064,38240,44236,57626,80418,86481,99542,99748,107870,106312,114273,142030,177406,196663,193106,201432,242258,269522,307032,297999,310032,172624
65,Walton County ,0,0,136,877,2453,4835,21591,45600,54994,68218,96188,132693,177210,189636,223405,226675,243100,221021,227648,275016,333488,366102,360044,376347,428900,452436,509945,494302,514508,286491
66,Washington County ,0,0,5,178,708,2722,8190,27362,31472,35824,41522,53568,69444,71767,82091,80903,84920,82327,87579,105839,128783,140224,136651,142462,165433,181974,204379,198652,206116,114013
