,County Name,Date,Covid Cases,months
610,Charlotte County ,Oct2020_Sum,103828,Oct2020_Sum
677,Charlotte County ,Nov2020_Sum,130848,Nov2020_Sum
744,Charlotte County ,Dec2020_Sum,193725,Dec2020_Sum
811,Charlotte County ,Jan2021_Sum,272340,Jan2021_Sum
878,Charlotte County ,Feb2021_Sum,287509,Feb2021_Sum
945,Charlotte County ,Mar2021_Sum,343392,Mar2021_Sum
1012,Charlotte County ,Apr2021_Sum,366323,Apr2021_Sum
1079,Charlotte County ,May2021_Sum,406173,May2021_Sum
1146,Charlotte County ,Jun2021_Sum,401525,Jun2021_Sum
1213,Charlotte County ,Jul2021_Sum,428858,Jul2021_Sum
1280,Charlotte County ,Aug2021_Sum,508142,Aug2021_Sum
1347,Charlotte County ,Sep2021_Sum,629823,Sep2021_Sum
1414,Charlotte County ,Oct2021_Sum,709655,Oct2021_Sum
1481,Charlotte County ,Nov2021_Sum,701764,Nov2021_Sum
1548,Charlotte County ,Dec2021_Sum,739906,Dec2021_Sum
1615,Charlotte County ,Jan2022_Sum,873544,Jan2022_Sum
1682,Charlotte County ,Feb2022_Sum,953281,Feb2022_Sum
1749,Charlotte County ,Mar2022_Sum,1098975,Mar2022_Sum
1816,Charlotte County ,Apr2022_Sum,1076853,Apr2022_Sum
1883,Charlotte County ,May2022_Sum,1137778,May2022_Sum
1950,Charlotte County ,Jun2022_Sum,646117,Jun2022_Sum
8,Citrus County ,Jan2020_Sum,0,Jan2020_Sum
75,Citrus County ,Feb2020_Sum,0,Feb2020_Sum
142,Citrus County ,Mar2020_Sum,149,Mar2020_Sum
209,Citrus County ,Apr2020_Sum,2156,Apr2020_Sum
276,Citrus County ,May2020_Sum,3424,May2020_Sum
343,Citrus County ,Jun2020_Sum,5167,Jun2020_Sum
410,Citrus County ,Jul2020_Sum,22480,Jul2020_Sum
477,Citrus County ,Aug2020_Sum,53564,Aug2020_Sum
544,Citrus County ,Sep2020_Sum,75011,Sep2020_Sum
611,Citrus County ,Oct2020_Sum,93502,Oct2020_Sum
678,Citrus County ,Nov2020_Sum,119155,Nov2020_Sum
745,Citrus County ,Dec2020_Sum,177646,Dec2020_Sum
812,Citrus County ,Jan2021_Sum,241283,Jan2021_Sum
879,Citrus County ,Feb2021_Sum,260379,Feb2021_Sum
946,Citrus County ,Mar2021_Sum,311436,Mar2021_Sum
1013,Citrus County ,Apr2021_Sum,319462,Apr2021_Sum
1080,Citrus County ,May2021_Sum,347789,May2021_Sum
1147,Citrus County ,Jun2021_Sum,342977,Jun2021_Sum
1214,Citrus County ,Jul2021_Sum,368634,Jul2021_Sum
1281,Citrus County ,Aug2021_Sum,451376,Aug2021_Sum
1348,Citrus County ,Sep2021_Sum,559405,Sep2021_Sum
1415,Citrus County ,Oct2021_Sum,626651,Oct2021_Sum
1482,Citrus County ,Nov2021_Sum,615332,Nov2021_Sum
1549,Citrus County ,Dec2021_Sum,645821,Dec2021_Sum
1616,Citrus County ,Jan2022_Sum,734395,Jan2022_Sum
1683,Citrus County ,Feb2022_Sum,796728,Feb2022_Sum
1750,Citrus County ,Mar2022_Sum,911179,Mar2022_Sum
1817,Citrus County ,Apr2022_Sum,887175,Apr2022_Sum
1884,Citrus County ,May2022_Sum,933240,May2022_Sum
1951,Citrus County ,Jun2022_Sum,526834,Jun2022_Sum
9,Clay County ,Jan2020_Sum,0,Jan2020_Sum
76,Clay County ,Feb2020_Sum,0,Feb2020_Sum
143,Clay County ,Mar2020_Sum,251,Mar2020_Sum
210,Clay County ,Apr2020_Sum,5468,Apr2020_Sum
277,Clay County ,May2020_Sum,10017,May2020_Sum
344,Clay County ,Jun2020_Sum,14267,Jun2020_Sum
411,Clay County ,Jul2020_Sum,55392,Jul2020_Sum
478,Clay County ,Aug2020_Sum,107006,Aug2020_Sum
545,Clay County ,Sep2020_Sum,138578,Sep2020_Sum
612,Clay County ,Oct2020_Sum,175202,Oct2020_Sum
679,Clay County ,Nov2020_Sum,210331,Nov2020_Sum
746,Clay County ,Dec2020_Sum,296231,Dec2020_Sum
813,Clay County ,Jan2021_Sum,424169,Jan2021_Sum
880,Clay County ,Feb2021_Sum,453428,Feb2021_Sum
947,Clay County ,Mar2021_Sum,528408,Mar2021_Sum
1014,Clay County ,Apr2021_Sum,536078,Apr2021_Sum
1081,Clay County ,May2021_Sum,585861,May2021_Sum
1148,Clay County ,Jun2021_Sum,583017,Jun2021_Sum
1215,Clay County ,Jul2021_Sum,657593,Jul2021_Sum
1282,Clay County ,Aug2021_Sum,824101,Aug2021_Sum
1349,Clay County ,Sep2021_Sum,945040,Sep2021_Sum
1416,Clay County ,Oct2021_Sum,1039978,Oct2021_Sum
1483,Clay County ,Nov2021_Sum,1017527,Nov2021_Sum
1550,Clay County ,Dec2021_Sum,1064671,Dec2021_Sum
1617,Clay County ,Jan2022_Sum,1294367,Jan2022_Sum
1684,Clay County ,Feb2022_Sum,1456274,Feb2022_Sum
1751,Clay County ,Mar2022_Sum,1655774,Mar2022_Sum
1818,Clay County ,Apr2022_Sum,1605103,Apr2022_Sum
1885,Clay County ,May2022_Sum,1672074,May2022_Sum
1952,Clay County ,Jun2022_Sum,937237,Jun2022_Sum
10,Collier County ,Jan2020_Sum,0,Jan2020_Sum
77,Collier County ,Feb2020_Sum,0,Feb2020_Sum
144,Collier County ,Mar2020_Sum,922,Mar2020_Sum
211,Collier County ,Apr2020_Sum,11930,Apr2020_Sum
278,Collier County ,May2020_Sum,30549,May2020_Sum
345,Collier County ,Jun2020_Sum,82633,Jun2020_Sum
412,Collier County ,Jul2020_Sum,217451,Jul2020_Sum
479,Collier County ,Aug2020_Sum,334005,Aug2020_Sum
546,Collier County ,Sep2020_Sum,368686,Sep2020_Sum
613,Collier County ,Oct2020_Sum,420247,Oct2020_Sum
680,Collier County ,Nov2020_Sum,483462,Nov2020_Sum
747,Collier County ,Dec2020_Sum,628493,Dec2020_Sum
814,Collier County ,Jan2021_Sum,787658,Jan2021_Sum
881,Collier County ,Feb2021_Sum,816135,Feb2021_Sum
948,Collier County ,Mar2021_Sum,973335,Mar2021_Sum
1015,Collier County ,Apr2021_Sum,1020440,Apr2021_Sum
1082,Collier County ,May2021_Sum,1127665,May2021_Sum
1149,Collier County ,Jun2021_Sum,1094659,Jun2021_Sum
1216,Collier County ,Jul2021_Sum,1169022,Jul2021_Sum
1283,Collier County ,Aug2021_Sum,1367492,Aug2021_Sum
1350,Collier County ,Sep2021_Sum,1582184,Sep2021_Sum
1417,Collier County ,Oct2021_Sum,1743769,Oct2021_Sum
1484,Collier County ,Nov2021_Sum,1710684,Nov2021_Sum
1551,Collier County ,Dec2021_Sum,1805107,Dec2021_Sum
1618,Collier County ,Jan2022_Sum,2194298,Jan2022_Sum
1685,Collier County ,Feb2022_Sum,2274299,Feb2022_Sum
1752,Collier County ,Mar2022_Sum,2571531,Mar2022_Sum
1819,Collier County ,Apr2022_Sum,2512614,Apr2022_Sum
1886,Collier County ,May2022_Sum,2650681,May2022_Sum
1953,Collier County ,Jun2022_Sum,1495596,Jun2022_Sum
11,Columbia County ,Jan2020_Sum,0,Jan2020_Sum
78,Columbia County ,Feb2020_Sum,0,Feb2020_Sum
145,Columbia County ,Mar2020_Sum,28,Mar2020_Sum
212,Columbia County ,Apr2020_Sum,945,Apr2020_Sum
279,Columbia County ,May2020_Sum,3467,May2020_Sum
346,Columbia County ,Jun2020_Sum,6079,Jun2020_Sum
413,Columbia County ,Jul2020_Sum,35453,Jul2020_Sum
480,Columbia County ,Aug2020_Sum,93258,Aug2020_Sum
547,Columbia County ,Sep2020_Sum,107412,Sep2020_Sum
614,Columbia County ,Oct2020_Sum,126136,Oct2020_Sum
681,Columbia County ,Nov2020_Sum,135605,Nov2020_Sum
748,Columbia County ,Dec2020_Sum,164999,Dec2020_Sum
815,Columbia County ,Jan2021_Sum,208579,Jan2021_Sum
882,Columbia County ,Feb2021_Sum,209708,Feb2021_Sum
949,Columbia County ,Mar2021_Sum,240471,Mar2021_Sum
1016,Columbia County ,Apr2021_Sum,239385,Apr2021_Sum
1083,Columbia County ,May2021_Sum,253557,May2021_Sum
1150,Columbia County ,Jun2021_Sum,248576,Jun2021_Sum
1217,Columbia County ,Jul2021_Sum,268506,Jul2021_Sum
1284,Columbia County ,Aug2021_Sum,348058,Aug2021_Sum
1351,Columbia County ,Sep2021_Sum,422298,Sep2021_Sum
1418,Columbia County ,Oct2021_Sum,458536,Oct2021_Sum
1485,Columbia County ,Nov2021_Sum,447950,Nov2021_Sum
1552,Columbia County ,Dec2021_Sum,467167,Dec2021_Sum
1619,Columbia County ,Jan2022_Sum,530983,Jan2022_Sum
1686,Columbia County ,Feb2022_Sum,577470,Feb2022_Sum
1753,Columbia County ,Mar2022_Sum,654634,Mar2022_Sum
1820,Columbia County ,Apr2022_Sum,634371,Apr2022_Sum
1887,Columbia County ,May2022_Sum,657988,May2022_Sum
1954,Columbia County ,Jun2022_Sum,364794,Jun2022_Sum
12,DeSoto County ,Jan2020_Sum,0,Jan2020_Sum
79,DeSoto County ,Feb2020_Sum,0,Feb2020_Sum
146,DeSoto County ,Mar2020_Sum,43,Mar2020_Sum
213,DeSoto County ,Apr2020_Sum,610,Apr2020_Sum
280,DeSoto County ,May2020_Sum,2448,May2020_Sum
347,DeSoto County ,Jun2020_Sum,11612,Jun2020_Sum
414,DeSoto County ,Jul2020_Sum,30111,Jul2020_Sum
481,DeSoto County ,Aug2020_Sum,43354,Aug2020_Sum
548,DeSoto County ,Sep2020_Sum,46123,Sep2020_Sum
615,DeSoto County ,Oct2020_Sum,50239,Oct2020_Sum
682,DeSoto County ,Nov2020_Sum,58781,Nov2020_Sum
749,DeSoto County ,Dec2020_Sum,82495,Dec2020_Sum
816,DeSoto County ,Jan2021_Sum,98361,Jan2021_Sum
883,DeSoto County ,Feb2021_Sum,100187,Feb2021_Sum
950,DeSoto County ,Mar2021_Sum,122320,Mar2021_Sum
1017,DeSoto County ,Apr2021_Sum,125794,Apr2021_Sum
1084,DeSoto County ,May2021_Sum,135528,May2021_Sum
1151,DeSoto County ,Jun2021_Sum,133099,Jun2021_Sum
1218,DeSoto County ,Jul2021_Sum,139322,Jul2021_Sum
1285,DeSoto County ,Aug2021_Sum,156256,Aug2021_Sum
1352,DeSoto County ,Sep2021_Sum,190777,Sep2021_Sum
1419,DeSoto County ,Oct2021_Sum,211819,Oct2021_Sum
1486,DeSoto County ,Nov2021_Sum,207883,Nov2021_Sum
1553,DeSoto County ,Dec2021_Sum,216173,Dec2021_Sum
1620,DeSoto County ,Jan2022_Sum,241295,Jan2022_Sum
1687,DeSoto County ,Feb2022_Sum,253707,Feb2022_Sum
1754,DeSoto County ,Mar2022_Sum,288585,Mar2022_Sum
1821,DeSoto County ,Apr2022_Sum,281747,Apr2022_Sum
1888,DeSoto County ,May2022_Sum,293540,May2022_Sum
1955,DeSoto County ,Jun2022_Sum,163494,Jun2022_Sum
13,Dixie County ,Jan2020_Sum,0,Jan2020_Sum
80,Dixie County ,Feb2020_Sum,0,Feb2020_Sum
147,Dixie County ,Mar2020_Sum,0,Mar2020_Sum
214,Dixie County ,Apr2020_Sum,85,Apr2020_Sum
281,Dixie County ,May2020_Sum,776,May2020_Sum
348,Dixie County ,Jun2020_Sum,1810,Jun2020_Sum
415,Dixie County ,Jul2020_Sum,4723,Jul2020_Sum
482,Dixie County ,Aug2020_Sum,17147,Aug2020_Sum
549,Dixie County ,Sep2020_Sum,23557,Sep2020_Sum
616,Dixie County ,Oct2020_Sum,26764,Oct2020_Sum
683,Dixie County ,Nov2020_Sum,27395,Nov2020_Sum
750,Dixie County ,Dec2020_Sum,31835,Dec2020_Sum
817,Dixie County ,Jan2021_Sum,39731,Jan2021_Sum
884,Dixie County ,Feb2021_Sum,40275,Feb2021_Sum
951,Dixie County ,Mar2021_Sum,47377,Mar2021_Sum
1018,Dixie County ,Apr2021_Sum,47213,Apr2021_Sum
1085,Dixie County ,May2021_Sum,50091,May2021_Sum
1152,Dixie County ,Jun2021_Sum,48902,Jun2021_Sum
1219,Dixie County ,Jul2021_Sum,52719,Jul2021_Sum
1286,Dixie County ,Aug2021_Sum,64812,Aug2021_Sum
1353,Dixie County ,Sep2021_Sum,80618,Sep2021_Sum
1420,Dixie County ,Oct2021_Sum,90582,Oct2021_Sum
1487,Dixie County ,Nov2021_Sum,88759,Nov2021_Sum
1554,Dixie County ,Dec2021_Sum,92308,Dec2021_Sum
1621,Dixie County ,Jan2022_Sum,101485,Jan2022_Sum
1688,Dixie County ,Feb2022_Sum,109437,Feb2022_Sum
1755,Dixie County ,Mar2022_Sum,124627,Mar2022_Sum
1822,Dixie County ,Apr2022_Sum,121076,Apr2022_Sum
1889,Dixie County ,May2022_Sum,125521,May2022_Sum
1956,Dixie County ,Jun2022_Sum,69366,Jun2022_Sum
14,Duval County ,Jan2020_Sum,0,Jan2020_Sum
81,Duval County ,Feb2020_Sum,0,Feb2020_Sum
148,Duval County ,Mar2020_Sum,1086,Mar2020_Sum
215,Duval County ,Apr2020_Sum,21771,Apr2020_Sum
282,Duval County ,May2020_Sum,39693,May2020_Sum
349,Duval County ,Jun2020_Sum,82033,Jun2020_Sum
416,Duval County ,Jul2020_Sum,452826,Jul2020_Sum
483,Duval County ,Aug2020_Sum,754537,Aug2020_Sum
550,Duval County ,Sep2020_Sum,862420,Sep2020_Sum
617,Duval County ,Oct2020_Sum,1015629,Oct2020_Sum
684,Duval County ,Nov2020_Sum,1170398,Nov2020_Sum
751,Duval County ,Dec2020_Sum,1620884,Dec2020_Sum
